,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor,Algorithm
172,PLR-ECOLI,0.6313025210084033,2.961641241271434,7.4411764705882355,Chain-RFR-PI,0,Chain-RFR-PI
173,PLR-ECOLI,0.6123949579831932,2.9294191885081813,7.617647058823529,Chain-RFR-PI,0,Chain-RFR-PI
174,PLR-ECOLI,0.620798319327731,2.933023496666907,7.382352941176471,Chain-RFR-PI,0,Chain-RFR-PI
175,PLR-ECOLI,0.5808823529411765,2.964676282159646,7.5,Chain-RFR-PI,0,Chain-RFR-PI
176,PLR-ECOLI,0.606060606060606,2.9461014972332578,7.484848484848484,Chain-RFR-PI,0,Chain-RFR-PI
177,PLR-ECOLI,0.5725108225108226,2.9336711017085766,7.424242424242424,Chain-RFR-PI,0,Chain-RFR-PI
178,PLR-ECOLI,0.6222943722943722,2.959567181362852,7.242424242424242,Chain-RFR-PI,0,Chain-RFR-PI
179,PLR-ECOLI,0.5963203463203463,2.928222416245041,7.696969696969697,Chain-RFR-PI,0,Chain-RFR-PI
180,PLR-ECOLI,0.5798319327731092,2.962553006445608,7.294117647058823,Chain-RFR-PI,0,Chain-RFR-PI
181,PLR-ECOLI,0.657563025210084,2.938803571693699,7.4411764705882355,Chain-RFR-PI,0,Chain-RFR-PI
182,PLR-ECOLI,0.6313025210084033,2.935335166893235,7.382352941176471,Chain-RFR-PI,0,Chain-RFR-PI
183,PLR-ECOLI,0.625,2.963421679747912,7.382352941176471,Chain-RFR-PI,0,Chain-RFR-PI
184,PLR-ECOLI,0.6165966386554621,2.9413268058819866,7.352941176470588,Chain-RFR-PI,0,Chain-RFR-PI
185,PLR-ECOLI,0.6050420168067228,2.937974774738545,7.088235294117647,Chain-RFR-PI,0,Chain-RFR-PI
186,PLR-ECOLI,0.6623376623376623,2.9652525831705985,7.545454545454546,Chain-RFR-PI,0,Chain-RFR-PI
187,PLR-ECOLI,0.6255411255411255,2.929904850673493,7.515151515151516,Chain-RFR-PI,0,Chain-RFR-PI
188,PLR-ECOLI,0.6071428571428572,2.9675570668481157,7.424242424242424,Chain-RFR-PI,0,Chain-RFR-PI
189,PLR-ECOLI,0.6125541125541125,2.9342226987739006,7.484848484848484,Chain-RFR-PI,0,Chain-RFR-PI
190,PLR-ECOLI,0.578781512605042,2.94957238578743,7.5,Chain-RFR-PI,0,Chain-RFR-PI
191,PLR-ECOLI,0.555672268907563,2.962899337135844,7.382352941176471,Chain-RFR-PI,0,Chain-RFR-PI
192,PLR-ECOLI,0.6586134453781514,2.936831537729068,7.588235294117647,Chain-RFR-PI,0,Chain-RFR-PI
193,PLR-ECOLI,0.638655462184874,2.9396976053669075,7.647058823529412,Chain-RFR-PI,0,Chain-RFR-PI
194,PLR-ECOLI,0.6092436974789918,2.96454883852507,7.147058823529412,Chain-RFR-PI,0,Chain-RFR-PI
195,PLR-ECOLI,0.6271008403361344,2.9352453713446565,7.5588235294117645,Chain-RFR-PI,0,Chain-RFR-PI
196,PLR-ECOLI,0.5876623376623377,2.9684041611612773,7.515151515151516,Chain-RFR-PI,0,Chain-RFR-PI
197,PLR-ECOLI,0.5162337662337662,2.947170099604007,7.0606060606060606,Chain-RFR-PI,0,Chain-RFR-PI
198,PLR-ECOLI,0.6038961038961039,2.934141742827039,7.333333333333333,Chain-RFR-PI,0,Chain-RFR-PI
199,PLR-ECOLI,0.6612554112554113,2.9633163327596934,7.454545454545454,Chain-RFR-PI,0,Chain-RFR-PI
200,PLR-GLASS,0.6545454545454545,2.5532852643212327,5.954545454545454,Chain-RFR-PI,0,Chain-RFR-PI
201,PLR-GLASS,0.696969696969697,2.5567357288151844,6.0,Chain-RFR-PI,0,Chain-RFR-PI
202,PLR-GLASS,0.781818181818182,2.5861187927084983,5.954545454545454,Chain-RFR-PI,0,Chain-RFR-PI
203,PLR-GLASS,0.7454545454545454,2.5578909325849177,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
204,PLR-GLASS,0.7365079365079364,2.552212488410775,5.9523809523809526,Chain-RFR-PI,0,Chain-RFR-PI
205,PLR-GLASS,0.7396825396825397,2.55147617664755,6.0,Chain-RFR-PI,0,Chain-RFR-PI
206,PLR-GLASS,0.7492063492063491,2.5901418088590624,5.9523809523809526,Chain-RFR-PI,0,Chain-RFR-PI
207,PLR-GLASS,0.7682539682539682,2.554023828784613,5.9523809523809526,Chain-RFR-PI,0,Chain-RFR-PI
208,PLR-GLASS,0.6666666666666666,2.551957558620446,6.0,Chain-RFR-PI,0,Chain-RFR-PI
209,PLR-GLASS,0.7047619047619047,2.544353333953437,6.0,Chain-RFR-PI,0,Chain-RFR-PI
210,PLR-GLASS,0.7303030303030303,2.5828729546766365,6.0,Chain-RFR-PI,0,Chain-RFR-PI
211,PLR-GLASS,0.7151515151515151,2.555976323442743,6.0,Chain-RFR-PI,0,Chain-RFR-PI
212,PLR-GLASS,0.7212121212121212,2.5523271755400403,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
213,PLR-GLASS,0.7515151515151518,2.581063738848783,5.954545454545454,Chain-RFR-PI,0,Chain-RFR-PI
214,PLR-GLASS,0.673015873015873,2.55317109336597,5.9523809523809526,Chain-RFR-PI,0,Chain-RFR-PI
215,PLR-GLASS,0.7523809523809524,2.54960063088319,6.0,Chain-RFR-PI,0,Chain-RFR-PI
216,PLR-GLASS,0.6507936507936508,2.5522342937120253,5.9523809523809526,Chain-RFR-PI,0,Chain-RFR-PI
217,PLR-GLASS,0.7142857142857142,2.5845615943520905,6.0,Chain-RFR-PI,0,Chain-RFR-PI
218,PLR-GLASS,0.7841269841269842,2.550920445839064,5.9523809523809526,Chain-RFR-PI,0,Chain-RFR-PI
219,PLR-GLASS,0.7238095238095238,2.55366398220287,5.9523809523809526,Chain-RFR-PI,0,Chain-RFR-PI
220,PLR-GLASS,0.706060606060606,2.579841310817354,5.818181818181818,Chain-RFR-PI,0,Chain-RFR-PI
221,PLR-GLASS,0.7696969696969697,2.55821222008654,5.954545454545454,Chain-RFR-PI,0,Chain-RFR-PI
222,PLR-GLASS,0.7636363636363637,2.550072020159446,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
223,PLR-GLASS,0.7242424242424244,2.553865214336839,5.954545454545454,Chain-RFR-PI,0,Chain-RFR-PI
